"","post","year","year_dummy","ca","sales"
"1",0,70,"D_70",0,115.033284317807
"2",0,70,"D_70",1,123
"3",0,71,"D_71",0,118.117567640385
"4",0,71,"D_71",1,121
"5",0,72,"D_72",0,120.857179419292
"6",0,72,"D_72",1,123.5
"7",0,73,"D_73",0,122.819499843593
"8",0,73,"D_73",1,124.4
"9",0,74,"D_74",0,126.940447525123
"10",0,74,"D_74",1,126.7
"11",0,75,"D_75",0,128.630287376256
"12",0,75,"D_75",1,127.1
"13",0,76,"D_76",0,132.796907243816
"14",0,76,"D_76",1,128
"15",0,77,"D_77",0,134.175984347453
"16",0,77,"D_77",1,126.4
"17",0,78,"D_78",0,134.700582933365
"18",0,78,"D_78",1,126.1
"19",0,79,"D_79",0,133.21533102817
"20",0,79,"D_79",1,121.9
"21",0,80,"D_80",0,134.449927245765
"22",0,80,"D_80",1,120.2
"23",0,81,"D_81",0,134.201128692531
"24",0,81,"D_81",1,118.6
"25",0,82,"D_82",0,133.231556197708
"26",0,82,"D_82",1,115.4
"27",0,83,"D_83",0,129.315873646558
"28",0,83,"D_83",1,110.8
"29",0,84,"D_84",0,123.373907109622
"30",0,84,"D_84",1,104.8
"31",0,85,"D_85",0,122.456708069489
"32",0,85,"D_85",1,102.8
"33",0,86,"D_86",0,120.68700732659
"34",0,86,"D_86",1,99.7
"35",0,87,"D_87",0,116.512930561307
"36",0,87,"D_87",1,97.5
"37",1,88,"D_88",0,113.418127229091
"38",1,88,"D_88",1,90.1
"39",1,89,"D_89",0,110.002043317184
"40",1,89,"D_89",1,82.4
"41",1,90,"D_90",0,105.339533990974
"42",1,90,"D_90",1,77.8
"43",1,91,"D_91",0,103.512624716437
"44",1,91,"D_91",1,68.7
"45",1,92,"D_92",0,102.394183445604
"46",1,92,"D_92",1,67.5
