"","recency","history_segment","history","mens","womens","zip_code","newbie","channel","segment","visit","conversion","spend","treatment","history_log","history_log_grp"
"1",9,"5) $500 - $750",675.83,1,0,"Rural",1,"Web","Mens E-Mail",0,0,0,1,6.5159415651268,6.5
"2",9,"5) $500 - $750",675.07,1,1,"Rural",1,"Phone","Mens E-Mail",0,0,0,1,6.51481638919938,6.5
"3",4,"3) $200 - $350",241.42,0,1,"Rural",1,"Multichannel","No E-Mail",0,0,0,0,5.48653815527298,5.5
"4",3,"1) $0 - $100",58.13,1,0,"Urban",1,"Web","No E-Mail",1,0,0,0,4.06268188171326,4.1
"5",5,"6) $750 - $1,000",828.42,1,0,"Surburban",1,"Multichannel","Mens E-Mail",0,0,0,1,6.71952027215612,6.7
"6",9,"1) $0 - $100",29.99,0,1,"Surburban",1,"Phone","No E-Mail",0,0,0,0,3.40086399276092,3.4
"7",2,"1) $0 - $100",29.99,0,1,"Urban",1,"Phone","No E-Mail",0,0,0,0,3.40086399276092,3.4
"8",4,"1) $0 - $100",78.24,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0,4.35978102572656,4.4
"9",2,"3) $200 - $350",203.35,1,0,"Rural",0,"Web","No E-Mail",0,0,0,0,5.31492863235323,5.3
"10",9,"3) $200 - $350",334.24,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0,1,5.81185929780826,5.8
"11",1,"5) $500 - $750",514.52,0,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1,6.24323442721051,6.2
"12",4,"6) $750 - $1,000",766.47,1,1,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1,6.64179555860267,6.6
"13",7,"5) $500 - $750",520.43,0,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1,6.25465539293988,6.3
"14",1,"1) $0 - $100",48.32,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0,3.87784555362656,3.9
"15",10,"1) $0 - $100",29.99,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0,3.40086399276092,3.4
"16",1,"5) $500 - $750",729.7,1,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1,6.59263349077157,6.6
"17",3,"3) $200 - $350",203.3,0,1,"Surburban",0,"Web","No E-Mail",0,0,0,0,5.3146827206343,5.3
"18",12,"2) $100 - $200",150.06,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0,5.01103521411758,5
"19",6,"1) $0 - $100",42.66,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0,3.7532617130432,3.8
"20",9,"5) $500 - $750",506.83,1,0,"Rural",1,"Multichannel","Mens E-Mail",0,0,0,1,6.22817564164373,6.2
"21",11,"1) $0 - $100",53.81,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0,3.98545932350133,4
"22",2,"3) $200 - $350",278.8,1,0,"Rural",0,"Web","Mens E-Mail",0,0,0,1,5.63049467888637,5.6
"23",2,"4) $350 - $500",428.74,1,0,"Rural",0,"Phone","Mens E-Mail",0,0,0,1,6.06085067459299,6.1
"24",11,"3) $200 - $350",228.09,0,1,"Surburban",1,"Web","No E-Mail",0,0,0,0,5.42974028790846,5.4
"25",1,"5) $500 - $750",640.58,0,1,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,6.46237401595712,6.5
"26",4,"2) $100 - $200",194.11,1,0,"Urban",0,"Phone","No E-Mail",0,0,0,0,5.268425008683,5.3
"27",7,"1) $0 - $100",84.49,0,1,"Urban",1,"Web","No E-Mail",0,0,0,0,4.43663318416475,4.4
"28",7,"3) $200 - $350",272.32,1,0,"Surburban",1,"Web","Mens E-Mail",0,0,0,1,5.60697784538501,5.6
"29",2,"1) $0 - $100",95.33,0,1,"Surburban",0,"Web","No E-Mail",1,0,0,0,4.55734455650549,4.6
"30",5,"4) $350 - $500",494.26,1,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1,6.20306169452182,6.2
"31",2,"6) $750 - $1,000",809.07,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,6.6958854398913,6.7
"32",3,"2) $100 - $200",101.61,0,1,"Surburban",1,"Phone","No E-Mail",0,0,0,0,4.62114195549779,4.6
"33",8,"1) $0 - $100",52.64,0,1,"Surburban",1,"Web","No E-Mail",0,0,0,0,3.96347628701706,4
"34",6,"4) $350 - $500",466.29,1,0,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1,6.14480775816292,6.1
"35",3,"7) $1,000 +",1397.57,1,0,"Surburban",1,"Multichannel","Mens E-Mail",0,0,0,1,7.24249029322026,7.2
"36",2,"6) $750 - $1,000",770.58,0,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1,6.64714347805302,6.6
"37",11,"2) $100 - $200",189.25,0,1,"Urban",1,"Phone","No E-Mail",0,0,0,0,5.24306889231756,5.2
"38",8,"1) $0 - $100",66.14,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0,4.19177370755365,4.2
"39",12,"1) $0 - $100",29.99,0,1,"Urban",1,"Web","No E-Mail",0,0,0,0,3.40086399276092,3.4
"40",9,"7) $1,000 +",1172.42,1,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1,7.06682526771546,7.1
"41",9,"2) $100 - $200",151.01,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0,5.0173460597877,5
"42",5,"1) $0 - $100",29.99,0,1,"Surburban",0,"Web","No E-Mail",0,0,0,0,3.40086399276092,3.4
"43",11,"3) $200 - $350",316.23,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,5.75646979693521,5.8
"44",1,"5) $500 - $750",616.73,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1,6.4244313268334,6.4
"45",2,"1) $0 - $100",46.09,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0,3.83059600673242,3.8
"46",12,"1) $0 - $100",29.99,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0,3.40086399276092,3.4
"47",1,"2) $100 - $200",142.4,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0,4.95863999897788,5
"48",12,"3) $200 - $350",284.54,1,1,"Surburban",0,"Web","Mens E-Mail",0,0,0,1,5.65087384122302,5.7
"49",2,"1) $0 - $100",60.2,0,1,"Surburban",1,"Web","No E-Mail",0,0,0,0,4.09767235231478,4.1
"50",4,"7) $1,000 +",1089.77,1,0,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1,6.99372194378331,7
"51",1,"6) $750 - $1,000",790.36,1,1,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1,6.67248853786562,6.7
"52",4,"1) $0 - $100",36.49,1,0,"Urban",1,"Web","No E-Mail",0,0,0,0,3.59703825044836,3.6
"53",12,"3) $200 - $350",271.89,1,0,"Rural",0,"Web","Mens E-Mail",0,0,0,1,5.6053975727348,5.6
"54",5,"3) $200 - $350",269.99,1,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1,5.59838492127545,5.6
"55",6,"1) $0 - $100",29.99,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0,3.40086399276092,3.4
"56",5,"1) $0 - $100",29.99,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0,3.40086399276092,3.4
"57",3,"1) $0 - $100",29.99,0,1,"Urban",1,"Web","No E-Mail",0,0,0,0,3.40086399276092,3.4
"58",1,"5) $500 - $750",720.17,1,1,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,6.57948729525137,6.6
"59",10,"3) $200 - $350",307.64,0,1,"Urban",0,"Multichannel","Mens E-Mail",0,0,0,1,5.72893026818885,5.7
"60",7,"4) $350 - $500",481.56,1,0,"Surburban",0,"Web","Mens E-Mail",0,0,0,1,6.17703083406683,6.2
"61",10,"1) $0 - $100",29.99,0,1,"Surburban",0,"Web","No E-Mail",0,0,0,0,3.40086399276092,3.4
"62",5,"4) $350 - $500",425.1,1,0,"Rural",1,"Phone","Mens E-Mail",0,0,0,1,6.05232443536474,6.1
"63",10,"1) $0 - $100",36.28,1,0,"Urban",1,"Web","No E-Mail",0,0,0,0,3.59126662524694,3.6
"64",7,"1) $0 - $100",32.42,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0,3.47877551630753,3.5
"65",1,"2) $100 - $200",150.93,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0,5.01681615317134,5
"66",8,"5) $500 - $750",575.62,1,1,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1,6.35544772076121,6.4
"67",2,"2) $100 - $200",145.76,0,1,"Surburban",1,"Web","No E-Mail",1,0,0,0,4.98196143351165,5
"68",8,"2) $100 - $200",171.88,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0,5.14679655890679,5.1
"69",1,"3) $200 - $350",209.98,1,0,"Surburban",0,"Web","No E-Mail",1,0,0,0,5.34701228808679,5.3
"70",3,"2) $100 - $200",166,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0,5.11198778835654,5.1
"71",8,"3) $200 - $350",336.76,0,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1,5.81937051046946,5.8
"72",7,"4) $350 - $500",406.7,0,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1,6.00807581291318,6
"73",5,"1) $0 - $100",29.99,0,1,"Rural",1,"Web","No E-Mail",0,0,0,0,3.40086399276092,3.4
"74",5,"1) $0 - $100",29.99,0,1,"Surburban",0,"Web","No E-Mail",1,0,0,0,3.40086399276092,3.4
"75",8,"2) $100 - $200",130.31,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0,4.86991622715682,4.9
"76",2,"2) $100 - $200",115.56,0,1,"Surburban",1,"Web","No E-Mail",0,0,0,0,4.74978987559803,4.7
"77",8,"2) $100 - $200",104.94,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0,4.65338875825857,4.7
"78",2,"3) $200 - $350",224.89,1,1,"Urban",0,"Multichannel","No E-Mail",0,0,0,0,5.41561139377039,5.4
"79",5,"4) $350 - $500",354.03,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0,1,5.86938165530577,5.9
"80",10,"2) $100 - $200",151.43,1,0,"Urban",0,"Web","No E-Mail",0,0,0,0,5.02012347196856,5
"81",1,"5) $500 - $750",513.83,0,1,"Surburban",1,"Multichannel","Mens E-Mail",0,0,0,1,6.24189247144925,6.2
"82",2,"2) $100 - $200",199.95,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0,5.29806733529283,5.3
"83",9,"3) $200 - $350",239.91,0,1,"Rural",0,"Phone","No E-Mail",0,0,0,0,5.48026385301191,5.5
"84",8,"1) $0 - $100",43.16,0,1,"Urban",1,"Phone","No E-Mail",0,0,0,0,3.76491414038993,3.8
"85",7,"3) $200 - $350",329.26,0,1,"Urban",0,"Web","Mens E-Mail",0,0,0,1,5.79684771221988,5.8
